05m28s Incorrectly Guessed {'FLOW', 'VALLEY', 'BOW', 'TEA'}
15m36s Incorrectly Guessed {'CRIMP', 'PLUG', 'BOW', 'TIP'}
16m11s Incorrectly Guessed {'FLOW', 'PLUG', 'SINK', 'TIP'}
23m23s Found VIOLIN PARTS: ['BOW', 'NECK', 'PEG', 'TIP']
27m23s Incorrectly Guessed {'BABE', 'TEA', 'OMG', 'TUBA'}
27m49s Incorrectly Guessed {'BABE', 'TEA', 'OMG', 'SWANG'}
31m30s Found ORIGAMI FOLDS: ['CRIMP', 'SQUASH', 'VALLEY', 'SINK']
34m03s Incorrectly Guessed {'BABE', 'AMERICA', 'OMG', 'SWANG'}
35m35s Incorrectly Guessed {'BABE', 'TUBA', 'OMG', 'SWANG'}
41m24s Found WORDS ABOUT EATING (BUT BACKWARDS): ['SWANG', 'TEA', 'PLUG', 'FLOW']
42m28s Found WORDS ENDING WITH AN ALKALINE EARTH METAL SYMBOL: ['BABE', 'OMG', 'AMERICA', 'TUBA']
42m28s All Connections Found in 11 guesses!
